time,wheel1 angular velocity,wheel2 angular velocity,wheel1 centre of mass x,wheel2 centre of mass x,wheel1 centre of mass y,wheel2 centre of mass y
87.1,1.230294208955969,-0.2390575270646291,-1,3,7,-10
87.13333333333334,1.2197496203874725,-0.24347487369179585,0,3,7,-10
87.16666666666667,1.2086452099542713,-0.2479636514146064,0,3,7,-10
87.2,1.1970151017208157,-0.2525281094809465,0,3,6,-10
87.23333333333333,1.1848943048459177,-0.2571725367769125,0,3,6,-10
87.26666666666667,1.1722178342147564,-0.261901263723214,0,3,6,-10
87.3,1.159025501479922,-0.2667186641018527,0,3,6,-10
87.33333333333333,1.1453533230488901,-0.27162915680304883,1,4,6,-10
87.36666666666666,1.131237972891784,-0.2766299292441445,1,4,5,-10
87.4,1.1167165908549206,-0.2817186602354484,1,4,5,-10
87.43333333333334,1.10182659759669,-0.28690055431095973,2,4,5,-10
87.46666666666667,1.0866055174966975,-0.2921808656150011,2,4,5,-10
87.5,1.0710908106987547,-0.2975648999142899,2,4,4,-10
87.53333333333333,1.055319715254235,-0.30305801648168035,2,4,4,-10
87.56666666666666,1.039329100138638,-0.30866562983402207,2,4,4,-10
87.6,1.0231553297246831,-0.31439321130495473,3,4,4,-11
87.63333333333334,1.0067330645713422,-0.32024629043169656,3,4,3,-11
87.66666666666667,0.9901003164400308,-0.3262304561329802,3,4,3,-11
87.7,0.9732909376500583,-0.33235135765323415,3,4,3,-11
87.73333333333333,0.9563382196529822,-0.3386147052458891,3,5,3,-11
87.76666666666667,0.9392747879492033,-0.34502627056630086,3,5,2,-11
87.8,0.9221325081419361,-0.35159188674221376,3,5,2,-11
87.83333333333333,0.9049424030754114,-0.3583174480869304,4,5,2,-11
87.86666666666666,0.8877345808873822,-0.3652089094173973,4,5,1,-11
87.9,0.8705381737030754,-0.37227228493625264,4,5,1,-11
87.93333333333334,0.8533812866089177,-0.37951364663350007,4,5,1,-11
87.96666666666667,0.836290956469631,-0.38693912215987014,4,5,1,-11
88.0,0.819293120091283,-0.3945548921200921,4,6,0,-11
88.03333333333333,0.8024125911850196,-0.4023671867302267,4,6,0,-11
88.06666666666666,0.7855713053292963,-0.41038228177889646,4,6,0,-11
88.1,0.7687948968138836,-0.418606493827689,4,6,0,-11
88.13333333333334,0.7521046396868339,-0.4269438207983134,4,6,0,-11
88.16666666666667,0.7355208837649293,-0.43540867465320054,4,6,0,-11
88.2,0.7190630422222073,-0.44400762627742935,4,6,0,-11
88.23333333333333,0.7027495850459996,-0.4527472301667897,4,6,-1,-11
88.26666666666667,0.6865980379056176,-0.4616340206717665,4,7,-1,-11
88.3,0.6706249859759291,-0.47067450748081613,4,7,-1,-11
88.33333333333333,0.6548491552003785,-0.47987517028658944,4,7,-1,-11
88.36666666666666,0.6392936726104336,-0.48924245257505405,4,7,-2,-11
88.4,0.6239709991041257,-0.498782754473658,4,7,-2,-11
88.43333333333334,0.608892752300293,-0.5085024245907744,4,7,-2,-10
88.46666666666667,0.5940697302135718,-0.5184077507746984,4,7,-2,-10
88.5,0.5795119369032808,-0.5285049497164578,4,8,-3,-10
88.53333333333333,0.5652286097671085,-0.5388001553166891,4,8,-3,-10
88.56666666666666,0.5512282481738592,-0.549299405732852,4,8,-3,-10
88.6,0.5375186431531398,-0.5600086290191688,4,8,-3,-10
88.63333333333334,0.5240041308167899,-0.570933627267936,4,8,-3,-10
88.66666666666667,0.5106953857634947,-0.5820800591573221,3,8,-4,-10
88.7,0.4975983502891994,-0.5934534208075386,3,9,-4,-10
88.73333333333333,0.48471846118812945,-0.6050590248444194,3,9,-4,-10
88.76666666666667,0.47206066688004084,-0.6169019775670919,3,9,-4,-10
88.8,0.45962944513799897,-0.6289871541146779,3,9,-4,-10
88.83333333333333,0.4474288212824185,-0.6413191715259734,3,9,-5,-9
88.86666666666666,0.43546238671824683,-0.6539023595859579,3,9,-5,-9
88.9,0.4237333177030534,-0.666639676573149,3,10,-5,-9
88.93333333333334,0.4122513575599847,-0.6795425850274374,3,10,-5,-9
88.96666666666667,0.4010251990399503,-0.6926142062138718,3,10,-5,-9
89.0,0.39005597037142203,-0.7058573069316961,3,10,-5,-9
89.03333333333333,0.3793444976941981,-0.7192742736947021,3,10,-6,-8
89.06666666666666,0.36888860822599256,-0.7328670851657457,3,10,-6,-8
89.1,0.35867998943559065,-0.7466372828167989,3,11,-6,-8
